Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
VNMGOVBUS,VIETNAM,GOV,VNM,FINBUS,FINLAND,BUS,FIN,1997,1997,057,2.38095238095238,1
PHLGOV,PHILIPPINE,GOV,PHL,SYRBUS,SYRIAN,BUS,SYR,2012,2012,050,0.582010582010582,1
KORGOV,SOUTH KOREA,GOV,KOR,KORBUS,SOUTH KOREA,BUS,KOR,2012,2012,054,1.6666666666666674,1
ZAFGOVBUSGOVMED,JEFF RADEBE,GOV,ZAF,MOZBUS,MOZAMBIQUE,BUS,MOZ,2005,2005,057,5.78778135048232,1
BRAGOVBUS,BRAZILIAN,GOV,BRA,BRABUS,BRAZILIAN,BUS,BRA,2011,2011,051,1.6189536031589342,1
ZMBGOV,ZAMBIA,GOV,ZMB,ZMBBUS,ZAMBIA,BUS,ZMB,2013,2013,057,0.7604562737642575,1
SDNGOV,SUDAN,GOV,SDN,IRNBUS,IRANIAN,BUS,IRN,1998,1998,051,1.702127659574468,1
JPNGOVBUS,AKIRA AMARI,GOV,JPN,IGOWSTBUS,ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,IGO,WST,2007,2007,051,2.2346368715083798,1
KORGOV,SOUTH KOREA,GOV,KOR,KORGOVBUS,YU MYUNG HWAN,GOV,KOR,2010,2010,050,0.87719298245614,1
ISRGOV,ISRAEL,GOV,ISR,ISRBUS,ISRAEL,BUS,ISR,2014,2014,111,0.21008403361344552,1
RUSGOVMED,RUSSIAN,GOV,RUS,GBRBUS,BRITISH,BUS,GBR,2014,2014,051,0.6289308176100633,1
SSDGOV,SOUTH SUDAN,GOV,SSD,SDNBUS,SUDAN,BUS,SDN,2014,2014,112,0.2626050420168069,1
AUSGOV,AUSTRALIAN,GOV,AUS,MYSBUS,MALAYSIA,BUS,MYS,2014,2014,050,0.6315789473684217,1
FRAGOV,FRANCE,GOV,FRA,FRAGOVBUS,CHRISTIAN NOYER,GOV,FRA,2011,2011,110,0.5460588793922123,1
USAGOVBUS,SUSAN SCHWAB,GOV,USA,RUSGOVBUS,GERMAN GREF,GOV,RUS,2006,2006,057,1.8330921369995177,2
USAGOV,NORTH CAROLINA,GOV,USA,NPLGOVBUS,RAJENDRA MAHATO,GOV,NPL,2013,2013,057,1.2232415902140668,2
RUSGOV,MOSCOW,GOV,RUS,RUSBUS,RUSSIAN,BUS,RUS,1998,1998,051,1.217391304347826,1
TKMGOV,TURKMEN,GOV,TKM,TURBUS,TURKISH,BUS,TUR,1996,2009,051,3.4199134199134202,2
RUSGOV,RUSSIA,GOV,RUS,PHLGOVBUS,GREGORY DOMINGO,GOV,PHL,2015,2015,057,0.0,1
INDGOV,PRANAB MUKHERJEE,GOV,IND,BHRBUS,BAHRAIN,BUS,BHR,2014,2014,051,3.7313432835820883,2
FRAGOV,FRENCH,GOV,FRA,FRABUS,FRENCH,BUS,FRA,2014,2014,050,0.5759539236861067,1
POLGOV,POLISH,GOV,POL,POLBUS,POLAND,BUS,POL,2015,2015,051,-0.93582887700535,1
CHNGOV,CHINESE,GOV,CHN,CHNBUS,GUANGDONG,BUS,CHN,2009,2009,051,1.57103825136612,1
IRQGOV,IRAQI,GOV,IRQ,IRQBUS,IRAQI,BUS,IRQ,2003,2003,054,0.619184304806623,1
UKRGOV,UKRAINE,GOV,UKR,IGOEUREECBUS,THE EU,IGO,EUR,2014,2014,051,1.661631419939575,1
AZEGOV,AZERBAIJAN,GOV,AZE," AZEBUS",BAKU,BUS,AZE,2013,2013,051,0.413223140495868,1
SAUGOV,ABDULLAH,GOV,SAU,AREBUS,ABU DHABI,BUS,ARE,2014,2014,057,1.97934595524957,1
GEOGOV,REVAZ ADAMIA,GOV,GEO,CHEBUS,SWISS,BUS,CHE,1999,1999,110,0.767888307155322,1
TURGOV,TURKISH,GOV,TUR,TURBUS,TURKEY,BUS,TUR,2011,2014,051,1.9639919508827643,2
MLTGOV,MALTA,GOV,MLT,MLTBUS,VALLETTA,BUS,MLT,2015,2015,051,2.10772833723653,1
KHMGOVMED,KHIEU KANHARITH,GOV,KHM,THABUS,THAI,BUS,THA,2003,2003,112,0.7133168200047167,2
FINGOV,FINNISH,GOV,FIN,ESPBUS,SPANISH,BUS,ESP,2012,2012,051,1.10461338531514,1
AUSGOV,ROBERT MCCLELLAND,GOV,AUS,AUSGOVBUS,CRAIG EMERSON,GOV,AUS,2010,2010,112,0.9485094850948512,1
ISRGOV,SILVAN SHALOM,GOV,ISR,ISRGOVBUS,YISRAEL KATZ,GOV,ISR,2015,2015,057,-0.0042869786480805,1
